Aspect Ratio,Audio Jack,Bluetooth,Capacity,Chipset,Colours,Display Type,Expandable Memory,FM Radio,Fingerprint Sensor,Fingerprint Sensor Position,Flash,GPS,Graphics,Height,Image Resolution,Internal Memory,NFC,Network Support,Operating System,Optical Image Stabilisation,Other Sensors,Physical Aperture,Pixel Density,Processor,Quick Charging,RAM,Rating Count,Resolution,Review Count,Screen Size,Settings,Shooting Modes,Thickness,Touch Screen,Type,USB Connectivity,User Replaceable,VoLTE,Weight,Wi-Fi Features,Width,Rating
3,2,1,3700,4,1,5,0,0,1,3,1,2,0,157.5,5,1,1,3,9,3,5,2,402,0,1,4,7409,1,7410,6.41,1,2,8.2,2,0,0,0,1,185.0,0,74.8,1
2,2,1,3010,4,5,2,0,3,1,4,1,2,0,158.7,3,7,1,3,8,2,5,3,403,0,3,3,9283,3,7727,5.99,1,3,7.3,2,0,0,0,1,168.0,2,75.4,0
4,0,1,3000,1,4,2,256,3,1,4,1,2,2,149.2,4,4,0,3,7,2,4,2,432,0,0,2,96143,1,9949,5.84,1,2,7.7,2,0,1,0,1,152.0,0,71.8,1
4,0,1,3260,4,3,2,256,3,1,4,1,2,0,154.81,5,7,0,3,8,2,5,2,400,0,0,3,78686,6,10615,6.3,1,2,7.89,2,1,2,0,1,150.0,0,75.03,1
4,0,1,4030,3,2,2,256,3,1,4,1,2,3,155.1,4,4,1,3,8,2,5,0,270,0,0,3,11,5,10,6.22,1,2,8.2,1,1,2,0,1,163.5,0,75.0,1
4,0,1,3060,4,3,2,400,3,1,4,1,2,0,147.2,5,7,1,3,8,2,5,2,435,0,2,3,112997,1,16415,5.8,1,2,7.9,2,1,0,0,1,151.0,0,70.9,1
5,0,1,3500,4,3,2,400,1,1,4,1,2,0,154.8,3,7,1,3,9,3,5,2,403,0,1,3,181,3,183,6.18,0,4,7.9,2,1,0,0,1,180.0,0,75.7,1
4,0,1,4030,4,2,2,256,3,1,4,1,2,0,155.1,4,7,1,3,8,2,5,2,270,0,0,3,1787,3,230,6.22,1,2,8.2,2,1,1,0,1,163.5,0,75.0,1
3,0,1,3750,1,3,2,256,1,1,4,1,2,2,157.9,5,7,1,3,8,2,5,2,409,0,1,3,3744,1,3747,6.3,1,2,7.4,2,0,0,0,1,176.0,0,74.2,1
4,0,1,4000,4,2,2,2000,3,1,4,1,2,0,158.4,4,4,1,3,8,2,5,2,269,0,0,2,5841,5,823,6.26,1,2,7.7,2,0,1,0,1,160.0,2,76.2,1
4,0,1,4230,4,2,2,256,1,1,4,1,2,0,155.9,4,7,0,3,8,2,4,2,271,0,0,3,215,1,41,6.2,1,2,8.1,2,1,2,0,1,168.0,0,75.4,1
4,0,1,4000,4,4,2,256,1,1,4,1,2,0,157.9,3,7,1,3,8,2,5,2,403,0,2,4,28649,3,3147,6.26,1,3,8.2,2,0,1,0,1,182.0,2,76.4,1
4,0,1,3260,3,2,2,256,3,0,2,1,2,3,155.0,4,2,1,3,8,2,5,3,270,1,0,1,75,4,7,6.22,0,2,7.7,2,1,1,0,1,143.0,0,75.0,1
4,0,1,3060,3,3,2,400,3,1,4,1,2,2,149.5,4,4,1,3,8,2,5,3,287,0,1,2,69060,5,10263,5.86,1,2,8.0,2,1,0,0,1,151.0,0,71.9,1
1,0,1,3300,4,3,2,512,3,0,2,1,2,0,161.4,4,4,0,3,8,1,3,3,274,1,0,1,647,4,119,6.0,1,2,7.9,2,1,1,0,1,178.0,2,76.9,1
2,0,1,3080,4,5,2,256,1,1,4,1,2,0,160.7,3,7,0,3,8,2,5,2,269,0,0,3,21775,1,18880,5.99,1,2,8.1,2,0,1,0,1,170.0,2,77.2,1
1,0,1,3800,4,3,9,512,1,1,4,0,2,0,162.5,6,1,1,3,7,1,4,2,392,0,1,4,222,6,59,6.3,1,2,7.8,2,1,0,0,1,183.0,0,77.0,1
5,0,1,4000,4,1,9,0,1,1,3,1,2,0,162.0,3,1,1,3,8,3,5,2,388,0,1,5,529,5,531,6.59,1,2,7.9,2,1,0,0,1,199.0,0,77.0,1
4,0,1,5000,4,2,2,2000,3,1,4,1,2,0,157.9,3,7,1,3,8,2,5,2,403,0,1,3,11151,0,2258,6.26,1,2,8.5,2,0,1,0,1,175.0,2,75.5,1
3,2,1,4200,1,5,4,256,1,1,3,1,2,2,157.8,6,1,1,3,9,2,6,2,538,0,2,4,108,6,111,6.39,1,2,8.6,2,0,0,0,1,189.0,0,72.3,1
4,0,1,4000,4,2,2,256,1,1,4,1,2,0,158.7,4,4,0,3,8,2,5,2,269,0,0,3,130,5,133,6.26,1,2,7.9,2,0,1,0,1,167.0,0,75.9,0
2,0,1,3000,4,3,2,256,1,1,4,1,2,0,152.4,4,4,1,3,7,2,5,2,282,0,0,2,209619,5,22189,5.7,1,2,7.8,2,1,1,0,1,150.0,0,73.0,1
2,0,1,5000,4,3,2,2000,2,1,4,1,2,0,159.0,5,7,1,3,8,2,5,2,403,0,1,4,118441,1,19894,5.99,1,2,8.4,2,1,1,0,1,180.0,2,76.0,1
2,0,1,3000,4,2,2,256,3,0,2,1,2,0,147.2,4,2,1,3,7,2,4,4,295,0,0,1,27405,4,3770,5.45,1,2,8.1,2,1,1,0,1,140.0,2,71.7,1
2,0,1,3080,4,5,2,256,1,1,4,1,2,0,160.7,3,4,0,3,8,2,5,2,269,0,0,2,19835,1,18719,5.99,1,2,8.1,2,0,1,0,1,170.0,2,77.2,1
4,0,1,3260,4,2,2,256,3,1,4,1,2,0,154.8,4,7,1,3,8,2,5,2,400,0,0,4,890,1,893,6.3,1,4,7.8,2,1,1,0,1,150.0,0,75.0,1
1,0,1,3300,4,3,10,512,3,1,5,1,2,0,161.4,4,7,0,3,8,1,4,1,274,1,0,3,1391,5,306,6.0,1,2,7.9,2,1,1,0,1,178.0,2,76.9,1
4,0,1,3400,3,3,2,256,3,1,4,1,1,2,156.0,5,7,0,3,8,2,5,2,405,0,0,3,11208,6,2459,6.23,1,2,7.8,2,1,1,0,1,158.0,2,75.3,1
3,0,1,3340,1,2,2,256,1,1,4,1,2,2,157.6,5,1,1,3,8,2,5,2,409,0,0,3,2394,6,2397,6.3,1,2,7.6,2,0,2,0,1,169.0,0,75.2,1
5,0,1,4000,3,2,2,128,3,1,4,1,1,2,154.5,4,7,0,3,5,1,5,2,401,2,1,3,32050,0,16020,5.5,1,2,8.5,2,0,1,0,1,180.0,2,75.9,0
3,0,1,3500,3,3,2,256,3,1,4,1,2,2,157.0,4,7,1,3,8,1,3,2,409,0,0,3,1149,6,1151,6.3,1,2,8.0,2,1,1,0,1,168.0,0,74.0,1
1,0,1,3500,5,5,9,400,0,1,4,1,2,2,158.1,3,7,1,3,7,3,7,5,531,0,1,4,3039,5,721,6.2,0,2,8.5,2,1,0,0,1,189.0,2,73.8,1
2,0,1,3000,1,3,2,256,3,1,4,1,1,2,151.0,4,4,0,3,7,2,5,2,427,0,0,2,385739,0,61028,5.65,1,2,7.6,2,0,1,0,1,149.0,2,71.9,1
2,1,1,2716,0,2,4,0,0,0,2,1,2,1,143.6,3,7,1,3,9,0,6,3,463,2,2,2,5220,6,1444,5.8,1,3,7.7,0,1,2,0,1,174.0,0,70.9,1
5,0,1,3000,4,4,2,128,3,0,2,1,2,0,140.4,4,2,0,3,6,1,5,2,294,1,0,1,1144467,4,152219,5.0,1,3,8.3,2,1,1,0,1,137.0,2,70.1,1
2,0,1,4000,4,2,2,256,3,1,4,1,2,0,147.3,4,4,1,3,7,2,4,2,295,0,1,2,37741,5,5457,5.45,1,2,8.7,2,1,1,0,1,150.0,2,70.9,1
5,0,1,2000,6,1,10,128,1,0,2,0,1,2,149.0,0,5,1,3,9,1,0,2,167,2,0,5,9444,6,2041,2.4,1,2,8.5,4,1,2,1,1,158.0,0,72.4,0
4,0,1,3260,3,3,2,256,3,1,4,1,1,3,155.2,4,4,0,3,8,2,4,3,270,0,0,3,9762,5,2383,6.22,1,2,7.7,2,1,1,0,1,151.0,0,75.2,1
2,0,1,3000,4,3,2,256,3,1,4,1,2,0,158.3,4,4,0,3,7,2,4,2,269,0,0,2,5858,5,5550,5.99,1,2,7.8,2,0,1,0,1,164.0,2,76.7,0
1,0,1,3000,5,2,9,256,2,1,4,1,2,2,149.3,4,7,0,3,7,1,2,1,294,0,0,3,64805,5,6629,5.6,1,2,8.2,2,1,1,0,1,154.0,2,70.2,1
2,0,1,3225,4,4,2,256,3,1,4,1,2,0,155.8,5,7,1,3,4,1,5,2,269,0,0,3,17019,6,3795,5.99,1,2,7.7,2,1,1,0,1,160.0,0,75.7,1
2,2,1,3010,4,5,2,0,3,1,4,1,2,0,158.7,3,1,1,3,8,2,5,3,403,0,2,4,7515,3,7518,5.99,1,3,7.3,2,0,0,0,1,168.0,2,75.4,0
2,0,1,4000,3,2,2,256,3,1,4,1,1,3,146.8,4,2,0,3,8,2,3,3,295,1,0,1,4803,5,660,5.45,1,2,9.8,2,1,1,0,1,160.0,0,70.8,1
4,0,1,3300,4,3,5,0,0,1,4,1,2,0,155.7,5,7,1,3,8,3,5,2,402,0,1,4,22617,1,22619,6.28,1,2,7.7,2,0,0,0,1,177.0,2,75.3,1
2,0,1,3000,3,2,2,32,3,0,2,1,1,3,146.5,2,2,1,3,8,2,3,2,295,1,1,0,833,4,346,5.45,0,2,8.7,1,0,1,1,1,139.0,0,70.2,0
3,2,1,3730,4,2,0,0,0,0,2,1,2,0,156.7,5,3,1,3,8,3,4,2,403,0,1,5,386,6,93,6.4,1,2,9.6,2,0,0,0,1,186.0,0,74.2,1
2,0,1,3360,4,2,2,256,3,0,2,1,2,0,155.9,4,2,0,3,8,2,5,3,268,1,0,2,3502,4,703,6.0,1,2,7.8,2,1,1,0,1,150.0,0,75.8,1
5,0,1,1500,4,3,10,32,3,0,2,1,1,0,133.4,0,5,0,3,9,1,0,2,163,2,0,5,222,2,104,2.45,1,2,14.9,2,1,3,1,1,117.0,0,49.3,0
4,0,1,3500,4,2,0,0,1,1,3,1,2,0,157.5,5,1,0,3,8,2,5,2,403,0,1,5,16,6,17,6.4,1,2,7.5,2,0,0,0,1,182.0,0,74.9,1
4,0,1,3260,3,3,2,256,3,1,4,1,2,3,155.2,4,7,1,3,8,2,5,3,270,0,0,3,2286,5,420,6.22,1,2,7.7,2,1,1,0,1,152.0,0,75.2,1
2,0,1,3300,4,4,2,128,1,1,4,1,2,0,151.8,3,2,0,3,6,2,4,3,282,0,0,1,17221,4,16020,5.7,1,3,7.7,2,1,1,0,1,157.0,2,72.8,1
2,0,1,3000,3,4,2,256,3,0,2,1,2,3,147.5,4,4,0,3,8,2,4,3,295,1,0,1,250442,4,20017,5.45,1,1,8.3,2,0,1,0,1,145.0,2,71.5,1
0,0,1,2900,0,5,2,0,0,1,1,1,2,3,158.2,6,4,1,3,9,3,6,3,401,1,0,2,1980,6,1169,5.5,1,3,7.3,0,1,2,0,1,188.0,0,77.9,1
0,0,1,4000,4,4,2,128,1,0,2,1,2,0,153.6,2,8,1,3,8,2,3,2,267,1,0,0,1159,4,313,5.5,0,2,9.67,2,1,1,0,1,158.0,0,77.6,0
2,0,1,3410,3,2,2,256,3,0,2,1,1,2,156.5,4,1,0,3,8,2,5,3,402,0,0,4,28420,5,28423,6.0,1,2,7.8,2,1,1,0,1,155.0,0,75.2,1
4,0,1,3060,4,2,2,400,1,1,4,1,2,0,149.7,3,7,1,3,8,2,5,2,426,0,2,3,92,5,27,5.84,1,2,7.9,2,1,0,0,1,160.0,0,71.1,1
4,0,1,3000,1,2,2,256,1,1,4,1,2,2,148.6,5,7,1,3,7,2,4,2,432,0,1,3,2644,6,2629,5.84,1,2,7.4,2,0,0,0,1,145.0,0,71.2,1
2,0,1,4000,4,5,2,128,1,1,4,1,2,0,158.6,3,7,0,3,6,1,5,2,403,0,2,4,151295,3,16910,5.99,0,3,8.0,2,0,1,0,1,181.0,2,75.4,1
2,0,1,3200,3,2,2,256,3,1,4,1,1,2,156.5,5,4,0,3,4,1,4,2,402,0,0,3,5554,3,1284,6.0,1,2,7.5,2,1,1,0,1,152.0,0,76.0,1
0,0,1,3000,4,3,2,128,1,1,4,1,2,0,148.8,5,4,1,3,8,2,5,2,401,0,2,2,936,5,332,5.5,1,2,8.6,2,1,0,0,1,172.0,0,75.8,0
1,0,1,3000,5,3,9,256,3,1,4,1,2,2,149.3,4,7,0,3,7,1,2,1,294,0,0,3,6923,5,1370,5.6,1,2,8.2,2,1,1,0,1,154.0,2,70.2,1
1,0,1,3500,5,2,9,256,3,1,4,0,2,2,159.9,5,7,1,3,5,1,6,1,411,0,1,4,3080,1,3069,6,1,2,8.3,2,1,0,0,1,191.0,2,75.7,1
5,0,1,4000,3,2,2,128,3,1,4,1,1,2,147.9,4,4,0,3,5,1,5,2,424,0,0,2,275525,5,50747,5.2,1,2,8.9,2,0,1,0,1,165.0,0,73.9,1
2,0,1,3360,4,2,2,256,3,0,2,1,2,0,155.8,2,2,1,3,8,2,5,3,268,1,0,1,3495,4,511,6.0,1,2,7.8,2,1,1,0,1,150.0,0,75.7,1
5,0,1,2000,4,1,10,32,2,0,2,0,0,0,134.0,0,5,0,3,8,1,0,2,167,2,0,5,5399,6,1485,2.4,1,2,13.8,4,1,2,1,1,58.0,0,56.4,0
1,0,1,3000,5,3,9,256,1,1,4,1,2,2,149.9,5,4,0,3,7,1,4,1,294,0,0,3,595,1,220,5.6,1,2,7.7,2,1,1,0,1,162.0,2,70.8,1
3,1,1,3174,0,3,4,0,0,0,2,1,2,1,157.5,3,7,1,3,9,3,6,3,456,2,2,3,901,6,185,6.5,1,1,7.7,0,1,2,0,1,208.0,0,77.4,1
2,0,1,3000,4,1,2,256,2,1,1,1,2,0,153.8,3,4,1,3,7,2,4,2,424,0,1,2,2180,1,1710,5.7,1,2,8.3,2,1,0,0,1,167.0,0,72.3,0
2,0,1,3800,4,2,2,256,1,1,4,1,2,0,158.3,3,7,1,3,7,2,5,2,402,0,1,3,2640,1,1863,6.0,1,2,9.5,2,1,0,0,1,186.0,0,75.6,1
3,1,1,2942,0,6,3,0,0,0,2,1,2,1,150.9,3,7,1,3,9,3,6,3,324,2,2,2,223,6,87,6.1,1,3,8.3,3,1,2,0,1,194.0,0,75.7,1
5,0,1,3300,5,2,10,256,3,1,1,0,2,2,151.7,4,2,0,3,2,1,2,1,401,0,0,2,22197,5,7501,5.5,1,2,8.0,2,1,1,0,1,167.0,2,75.0,1
5,0,1,1642,0,4,2,0,0,1,1,1,2,3,123.8,6,4,1,3,9,1,5,4,326,2,0,1,66162,6,12486,4.0,0,3,7.6,2,0,2,0,1,113.0,0,58.6,1
5,0,1,4000,4,3,2,256,3,1,4,1,2,0,155.5,3,1,1,3,8,2,5,2,403,0,2,4,111794,3,16755,6.18,1,3,8.8,2,0,0,0,1,182.0,2,75.2,1
5,0,1,4000,3,3,2,256,3,1,4,1,1,2,150.5,4,4,1,3,3,1,5,2,277,0,0,2,4304,3,951,5.3,0,2,8.0,2,0,1,0,0,161.3,0,74.4,0
2,0,1,5000,4,2,2,128,3,1,4,1,2,0,160.9,3,4,0,3,7,2,3,5,268,0,1,2,7085,4,1829,6.0,1,3,9.3,1,0,1,0,1,197.0,0,75.3,1
5,0,1,4100,4,4,2,128,2,1,4,0,2,0,151.0,4,7,0,3,2,1,5,2,401,0,0,3,1268083,4,218020,5.5,1,2,8.4,2,0,1,0,1,165.0,2,76.0,1
5,0,1,1715,0,4,2,0,0,1,1,0,2,3,138.3,6,4,1,3,9,1,6,3,326,2,0,1,24135,4,4281,4.7,0,5,7.1,0,0,2,0,1,143.0,0,67.1,1
4,0,1,3260,3,2,2,256,3,1,4,1,2,3,155.0,4,4,1,3,8,2,5,3,270,0,0,3,498,4,387,6.22,1,2,7.7,2,1,1,0,1,148.0,0,75.0,1
1,0,1,3000,5,6,9,256,0,1,4,1,2,2,148.9,3,7,1,3,3,3,6,5,568,0,1,3,22568,5,2929,5.8,1,2,8.0,2,1,0,0,1,155.0,0,68.1,1
2,0,1,3340,1,3,2,128,3,1,4,1,2,2,156.2,5,7,0,3,3,1,4,2,409,0,0,3,40785,0,7864,5.9,1,2,7.5,2,1,1,0,1,164.0,2,75.2,1
5,0,1,1960,0,5,2,0,0,1,1,1,2,3,138.3,6,4,1,3,9,3,6,3,326,1,0,1,29469,6,6591,4.7,0,3,7.1,0,1,2,0,1,138.0,0,67.1,1
0,0,1,3090,4,4,2,256,0,1,1,1,2,0,151.5,4,7,1,3,5,3,6,2,554,0,2,3,979,0,767,5.3,1,2,7.9,2,1,0,0,1,160.0,2,73.7,0
0,0,1,2150,3,2,2,128,3,0,2,0,1,2,133.6,1,8,0,3,8,2,3,2,218,1,0,0,6035,2,1456,4.5,1,2,9.5,2,1,1,1,1,131.0,0,67.7,0
0,0,1,3600,5,3,9,200,0,1,1,0,2,2,150.9,3,4,1,3,1,3,6,5,534,0,1,3,3822,4,726,5.5,1,2,7.7,2,1,1,0,0,157.0,2,72.6,1
3,0,1,3500,3,3,2,256,3,1,4,1,2,2,156.7,5,1,0,3,8,2,5,2,409,0,2,4,1516,6,1519,6.3,1,2,8.0,2,0,1,0,1,169.0,2,74.0,1
5,0,1,5300,4,1,2,128,3,1,4,1,2,0,174.1,3,7,1,3,5,1,5,2,344,0,2,3,45792,4,13273,6.4,1,3,7.6,2,1,0,0,1,211.0,2,88.7,1
5,0,1,4550,3,2,2,256,3,1,1,1,1,2,166.4,4,7,0,3,3,1,4,2,367,0,1,3,1686,3,407,6.0,0,2,9.1,2,1,1,0,1,226.0,0,83.3,0
5,0,1,800,4,1,10,16,2,1,2,1,0,0,149.0,6,4,1,0,8,2,0,2,102,2,0,3,79119,6,16571,2.0,1,2,8.5,2,1,2,1,0,74.0,0,72.4,1
2,0,1,4000,3,3,2,128,3,1,4,1,1,3,148.0,4,2,1,3,7,2,3,2,295,1,0,1,16402,4,2486,5.45,0,2,9.6,2,0,1,1,1,158.0,0,70.9,1
2,0,1,3050,3,4,2,128,1,0,2,1,1,3,148.0,4,2,1,3,8,2,3,2,295,1,0,1,35676,5,5368,5.45,1,2,8.4,2,0,1,0,1,138.0,2,71.0,1
4,2,1,4000,1,2,4,0,1,1,1,1,2,2,155.0,6,1,1,3,8,3,5,2,408,0,1,4,311,6,314,6.1,1,2,7.8,2,1,0,0,1,180.0,0,73.9,1
0,0,1,1810,0,1,2,0,0,1,1,0,2,3,137.1,2,4,1,3,9,2,6,3,326,2,0,0,60996,6,11503,4.7,1,3,6.9,2,0,2,0,1,129.0,0,67.0,1
0,0,1,3300,3,2,10,256,1,1,1,1,2,2,156.7,4,4,0,3,3,1,5,1,386,0,0,3,17237,0,3640,5.7,1,2,8.1,2,1,1,0,1,179.0,2,78.8,1
5,0,1,5000,4,3,9,256,3,1,1,0,2,0,161.7,5,4,1,3,9,3,3,1,367,0,1,3,4018,5,1488,6.0,1,2,7.9,2,1,1,0,0,210.0,2,80.9,1
4,0,1,4000,4,2,2,2000,3,1,4,1,2,0,158.4,4,7,1,3,8,2,5,2,269,0,0,3,2100,5,276,6.26,1,2,7.7,2,0,1,0,1,160.0,2,76.2,1
2,0,1,3200,4,2,2,128,1,0,2,1,2,0,147.7,4,2,1,3,8,2,5,2,295,1,0,1,562,4,564,5.45,0,0,8.6,2,0,1,0,1,144.0,0,70.5,0
2,0,1,3000,4,3,2,256,3,1,4,1,2,0,149.3,5,4,0,3,4,2,5,2,282,0,0,3,11204,6,2319,5.7,1,2,7.9,2,1,1,0,1,139.0,0,72.8,1
2,0,1,3180,3,2,10,256,0,0,2,1,1,2,150.5,4,4,0,3,4,1,4,3,282,0,0,2,1834,5,351,5.7,1,2,7.7,2,1,1,0,1,143.0,0,73.1,1
0,0,1,3000,3,2,2,128,3,1,1,1,2,2,153.8,4,4,0,3,1,1,4,2,267,0,0,3,7719,3,1975,5.5,2,2,7.5,2,1,1,0,1,154.0,0,75.5,1
5,1,1,2675,0,4,2,0,0,1,1,1,2,0,158.4,6,7,1,3,9,3,6,3,401,2,2,2,3204,6,683,5.5,1,3,7.5,0,1,2,0,1,202.0,0,78.1,1
1,2,1,3430,4,3,4,0,0,1,4,1,2,0,158.0,6,7,1,3,9,3,5,3,522,0,1,3,227,5,43,6.3,1,2,7.9,2,1,0,0,1,184.0,0,76.7,1
3,0,1,3750,1,2,2,256,1,1,4,1,2,2,157.9,5,7,1,3,8,2,5,2,409,0,1,4,3836,1,3762,6.3,1,2,7.4,2,0,0,0,1,176.0,0,74.2,1
2,0,1,4000,4,1,2,256,3,1,4,1,2,0,158.9,4,7,1,3,8,2,4,2,403,0,2,3,70,1,73,5.99,1,2,8.4,2,0,0,0,1,170.0,2,76.1,0
5,0,1,4000,3,2,2,128,3,1,4,1,1,2,154.5,4,4,0,3,5,1,5,2,401,2,1,2,18677,0,11586,5.5,1,2,8.5,2,0,1,0,1,180.0,2,75.9,0
5,0,0,1020,4,3,3,32,1,0,2,1,0,0,118.0,6,4,0,0,8,2,0,2,167,0,0,5,17021,6,4403,2.4,1,2,13.5,4,1,2,1,0,82.6,0,50.2,1
2,0,1,3200,4,1,2,256,3,1,1,1,2,0,161.0,3,7,0,3,7,2,4,5,407,0,1,4,192,1,97,5.93,1,2,8.0,2,0,0,0,1,168.0,0,75.5,1
3,0,1,3750,1,2,2,400,3,1,4,1,2,2,160.4,6,7,0,3,8,2,5,2,396,0,0,4,5197,1,5179,6.5,1,2,7.8,2,0,1,0,1,175.0,0,76.6,1
4,0,1,3200,4,1,9,256,3,1,3,1,2,0,154.4,3,1,1,3,8,2,5,2,402,0,1,4,1386,6,289,6.28,1,2,7.3,2,1,1,0,1,156.2,0,74.7,1
5,0,1,3200,3,2,2,128,1,1,1,1,1,2,153.3,4,7,0,3,1,1,4,2,401,0,0,3,50780,1,9312,5.5,1,2,7.3,2,0,1,0,1,153.0,0,75.2,1
5,0,1,3080,4,2,2,128,3,0,2,1,2,0,153.0,4,2,0,3,6,1,5,2,267,1,0,1,6362,4,3995,5.5,1,2,7.5,2,0,1,0,1,150.0,2,76.2,1
2,2,1,3400,4,1,2,0,0,1,4,1,2,0,151.8,3,1,1,3,4,3,6,2,403,0,2,4,3901,4,803,5.99,0,3,7.7,2,1,0,0,1,185.0,2,75.5,1
3,0,1,3750,1,2,2,256,0,1,4,1,2,2,157.0,5,1,0,3,8,1,5,2,409,0,1,4,186,6,188,6.3,1,2,7.3,2,0,0,0,1,166.0,0,73.7,0
2,0,1,3000,4,1,2,256,2,1,1,1,2,0,153.8,3,7,1,3,7,2,4,2,424,0,1,3,3203,1,1824,5.7,1,2,8.3,2,1,0,0,1,167.0,0,72.3,0
5,1,1,1821,0,4,2,0,0,1,1,1,2,1,138.4,6,7,1,3,9,3,6,3,326,2,2,1,2798,6,659,4.7,1,3,7.3,0,1,2,0,1,148.0,0,67.3,1
5,0,1,2750,0,4,2,0,0,1,1,1,2,3,158.2,6,4,1,3,9,3,6,3,401,2,0,1,3705,4,794,5.5,0,3,7.3,0,1,2,0,1,192.0,0,77.9,1
0,0,1,5000,3,1,2,64,3,0,2,1,1,2,149.5,4,4,0,3,4,1,1,3,282,1,0,2,5672,4,909,5.2,1,2,9.8,2,1,1,0,1,170.0,0,73.5,0
5,0,1,3000,4,2,2,128,3,1,4,1,1,0,149.0,4,4,0,3,3,2,3,2,441,0,0,2,45,1,29,5.0,0,4,8.5,2,1,1,0,1,158.0,0,72.4,0
5,0,0,1200,4,4,10,32,3,0,2,1,0,0,115.6,0,2,1,0,8,1,0,2,167,0,0,3,16986,2,3346,2.4,1,2,12.8,2,1,1,1,0,158.0,0,51.0,0
5,0,1,3010,3,2,2,256,3,0,2,1,1,2,148.1,4,2,0,3,4,1,4,4,282,0,0,2,936,4,149,5.2,1,2,7.6,2,1,1,0,1,137.0,0,73.8,1
5,0,1,3000,4,4,2,128,3,0,2,1,2,0,140.4,4,4,0,3,6,1,5,2,294,1,0,2,552047,4,63890,5.0,1,3,8.3,2,1,1,0,1,137.0,2,70.1,1
0,0,1,2600,5,4,9,0,0,1,1,0,2,2,142.1,6,4,1,3,9,3,6,1,576,0,1,2,1417,4,418,5.1,1,2,7.0,2,1,2,0,0,132.0,2,70.1,0
2,0,1,2990,3,3,2,128,1,0,2,1,2,2,146.2,4,2,1,3,8,2,4,2,310,0,0,1,76,5,53,5.2,1,2,8.7,2,1,1,0,1,138.3,0,68.6,0
5,0,0,1020,4,2,10,32,3,0,2,1,0,0,118.0,6,4,0,0,8,2,0,2,167,0,0,3,15173,6,2986,2.4,1,2,13.5,4,1,3,1,0,81.0,0,50.2,1
2,0,1,3180,3,2,10,256,1,0,2,1,2,2,150.5,4,4,0,3,4,2,4,3,282,0,0,1,44,5,11,5.7,1,2,7.7,2,1,1,0,1,143.0,0,73.1,1
2,0,1,3000,1,3,2,256,3,1,4,1,1,2,151.0,4,7,0,3,7,2,5,2,427,0,0,3,68060,0,10921,5.65,1,2,7.6,2,0,1,0,1,149.0,2,71.9,1
2,0,1,3000,7,2,2,128,1,0,2,1,2,2,146.2,4,2,1,3,7,2,4,3,295,1,0,1,50,5,50,5.45,1,2,9.7,1,1,1,0,1,150.0,0,71.2,1
